Fornecedor,Mês,Data,Cliente,Pedido,NFE,Valor,Tabela,Situação,Valor_Num
EMPORIUM E IMPACTO,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
EMPORIUM E IMPACTO,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
EMPORIUM E IMPACTO,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
EMPORIUM E IMPACTO,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
EMPORIUM E IMPACTO,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
EMPORIUM E IMPACTO,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
EMPORIUM E IMPACTO,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
EMPORIUM E IMPACTO,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
DCARTE,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
DCARTE,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
DCARTE,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
DCARTE,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
DCARTE,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
DCARTE,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
DCARTE,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
DCARTE,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
DCARTE,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
FWB,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
FWB,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
FWB,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
FWB,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
FWB,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
FWB,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
FWB,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
FWB,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
FWB,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
FT IMPORT,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
FT IMPORT,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
FT IMPORT,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
FT IMPORT,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
FT IMPORT,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
FT IMPORT,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
FT IMPORT,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
FT IMPORT,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
FT IMPORT,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
GPX,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
GPX,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
GPX,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
GPX,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
GPX,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
GPX,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
GPX,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
GPX,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
GPX,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
GP PLASTICOS,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
GP PLASTICOS,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
GP PLASTICOS,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
GP PLASTICOS,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
GP PLASTICOS,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
GP PLASTICOS,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
GP PLASTICOS,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
GP PLASTICOS,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
GP PLASTICOS,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
GIFT UTIL,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
GIFT UTIL,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
GIFT UTIL,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
GIFT UTIL,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
GIFT UTIL,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
GIFT UTIL,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
GIFT UTIL,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
GIFT UTIL,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
GIFT UTIL,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
IMPORTUDO,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
IMPORTUDO,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
IMPORTUDO,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
IMPORTUDO,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
IMPORTUDO,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
IMPORTUDO,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
IMPORTUDO,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
IMPORTUDO,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
IMPORTUDO,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
INNOVO,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
INNOVO,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
INNOVO,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
INNOVO,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
INNOVO,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
INNOVO,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
INNOVO,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
INNOVO,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
INNOVO,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
LE HAVI,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
LE HAVI,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
LE HAVI,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
LE HAVI,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
LE HAVI,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
LE HAVI,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
LE HAVI,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
LE HAVI,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
LE HAVI,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
LUMA FESTAS,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
LUMA FESTAS,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
LUMA FESTAS,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
LUMA FESTAS,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
LUMA FESTAS,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
LUMA FESTAS,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
LUMA FESTAS,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
LUMA FESTAS,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
LUMA FESTAS,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
MEGA TOYS,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
MEGA TOYS,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
MEGA TOYS,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
MEGA TOYS,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
MEGA TOYS,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
MEGA TOYS,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
MEGA TOYS,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
MEGA TOYS,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
MEGA TOYS,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
MEGA TOYS,Fevereiro,2026-02-18,EVELINY MARIA,74901,715,3480.0,3,nan,3480.0
NS IGUAÇU,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
NS IGUAÇU,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
NS IGUAÇU,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
NS IGUAÇU,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
NS IGUAÇU,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
NS IGUAÇU,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
NS IGUAÇU,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
NS IGUAÇU,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
NS IGUAÇU,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
ORO COMERCIO,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
ORO COMERCIO,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
ORO COMERCIO,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
ORO COMERCIO,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
ORO COMERCIO,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
ORO COMERCIO,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
ORO COMERCIO,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
ORO COMERCIO,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
ORO COMERCIO,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
RIO HOME,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
RIO HOME,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
RIO HOME,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
RIO HOME,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
RIO HOME,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
RIO HOME,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
RIO HOME,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
RIO HOME,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
RIO HOME,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
RIO TIJUCAS,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
RIO TIJUCAS,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
RIO TIJUCAS,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
RIO TIJUCAS,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
RIO TIJUCAS,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
RIO TIJUCAS,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
RIO TIJUCAS,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
RIO TIJUCAS,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
RIO TIJUCAS,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
ROYAL,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
ROYAL,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
ROYAL,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
ROYAL,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
ROYAL,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
ROYAL,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
ROYAL,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
ROYAL,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
ROYAL,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
SANXIA,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
SANXIA,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
SANXIA,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
SANXIA,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
SANXIA,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
SANXIA,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
SANXIA,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
SANXIA,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
SANXIA,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
SPIDER,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
SPIDER,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
SPIDER,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
SPIDER,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
SPIDER,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
SPIDER,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
SPIDER,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
SPIDER,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
SPIDER,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
FOFY,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
FOFY,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
FOFY,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
FOFY,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
FOFY,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
FOFY,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
FOFY,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
FOFY,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
FOFY,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
TOY MASTER,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
TOY MASTER,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
